anchor,layer,component,final_kl_mean,final_kl_lo,final_kl_hi,flip_rate,dnll_mean,dnll_lo,dnll_hi,n
final,0,attn_only,9.311841789886557,3.561193044898659e-08,22.02090511322021,0.8166666666666667,0.0,0.0,0.0,60
final,0,mlp_only,1.688758837096651,-2.124536438996571e-08,14.934107494354247,0.15,0.0,0.0,0.0,60
final,0,resid,9.191894815939257,7.53893211191681e-09,22.06666779518127,0.7833333333333333,0.0,0.0,0.0,60
final,2,attn_only,0.005498854569392499,-5.216143383890426e-08,0.03085354310460388,0.0,0.0,0.0,0.0,60
final,2,mlp_only,0.00449181408507579,1.982252553767161e-09,0.0506212217267602,0.0,0.0,0.0,0.0,60
final,2,resid,9.005617811603205,2.3389204084622864e-08,20.20396156311035,0.7666666666666667,0.0,0.0,0.0,60
final,4,attn_only,0.0008337083108507194,-7.863928903617533e-08,0.005344782001338899,0.0,0.0,0.0,0.0,60
final,4,mlp_only,0.0016390857876715681,-4.526419192796282e-08,0.013385772216133764,0.0,0.0,0.0,0.0,60
final,4,resid,8.86894504503633,4.8867730642609974e-08,22.018218469619747,0.7666666666666667,0.0,0.0,0.0,60
final,6,attn_only,0.0012308630540309728,-5.6816942617388114e-08,0.00832866143900901,0.0,0.0,0.0,0.0,60
final,6,mlp_only,0.0038416500904105088,-4.506402471182724e-08,0.02519141850061713,0.0,0.0,0.0,0.0,60
final,6,resid,8.58861886643255,5.51610980892292e-08,20.67583756446838,0.7666666666666667,0.0,0.0,0.0,60
final,12,attn_only,0.003816793738372211,-4.128299053718365e-08,0.03903202433139084,0.0,0.0,0.0,0.0,60
final,12,mlp_only,0.05360709113090665,-4.702474336593098e-08,0.20658302232623094,0.03333333333333333,0.0,0.0,0.0,60
final,12,resid,8.77484669074116,1.4111104746916682e-07,21.580491828918454,0.7333333333333333,0.0,0.0,0.0,60
final,16,attn_only,0.008657217513910591,-3.2510035907762357e-08,0.06966287363320589,0.03333333333333333,0.0,0.0,0.0,60
final,16,mlp_only,0.021308889838628088,1.1049485282299545e-08,0.10173475742340082,0.05,0.0,0.0,0.0,60
final,16,resid,9.900553781698536,3.3252395326144324e-07,22.941396236419674,0.7833333333333333,0.0,0.0,0.0,60
mid,0,attn_only,0.002704590065544214,-8.544235594598603e-08,0.020400110376067447,0.0,0.5018546203772227,0.005111057311296464,1.4110001266002645,60
mid,0,mlp_only,0.0007143707242366275,-3.747478150017969e-08,0.003853574022650717,0.0,0.014147476603587469,-0.002507733553647995,0.046995460242032994,60
mid,0,resid,0.002800371237736506,-1.7843404154227467e-08,0.014848436648026101,0.0,0.4945399582386017,0.004628069698810577,1.398729372024535,60
mid,2,attn_only,0.00027558225425767803,-1.0255175002527039e-07,0.001655918831238523,0.0,0.001005947838226954,-0.0024560563266277312,0.008487885817885397,60
mid,2,mlp_only,0.00037652527143503347,-8.94230897330317e-08,0.0018980574677698312,0.0,0.0018447600305080414,-0.0026224926114082336,0.015579743683338145,60
mid,2,resid,0.002841738111420783,-7.813930853473039e-08,0.013458613678812969,0.0,0.470102858543396,0.004760407656431199,1.3633866757154454,60
mid,4,attn_only,0.0003463470719112571,-1.2998960308152618e-07,0.0022923250740859652,0.0,0.0005099425713221232,-0.002540256828069687,0.005031429231166839,60
mid,4,mlp_only,0.0004170115381111561,-6.244066721450281e-08,0.0019966941006714476,0.0,0.0012288684646288553,-0.004261251538991928,0.008509114384651184,60
mid,4,resid,0.002749319237242773,-6.135121273231903e-08,0.017436821549199497,0.0,0.4547416177888711,0.003267293423414231,1.3377480655908573,60
mid,6,attn_only,0.00034953958490974065,-1.4067377165360993e-07,0.0020605183381121606,0.0,-0.00018085365494092305,-0.006716294586658477,0.0036953832954168316,60
mid,6,mlp_only,0.000499809465489535,-1.1922391642826822e-07,0.0027559936628676947,0.0,0.0009004399180412292,-0.003494354709982872,0.00784185230731964,60
mid,6,resid,0.002864816828432426,-9.058334740075225e-08,0.012180548906326277,0.0,0.44012684797247253,0.0021753631532192234,1.2848820626735677,60
mid,12,attn_only,0.00022733985981281032,-7.95060977054618e-08,0.0015991877764463419,0.0,0.000524484117825826,-0.004126976430416107,0.009348876029252998,60
mid,12,mlp_only,0.00031045928356948085,-1.0466940914000133e-07,0.0019422383891651406,0.0,0.0027945592999458315,-0.003745874762535095,0.02122509367763993,60
mid,12,resid,0.0007772130982909446,-9.723383040949329e-08,0.004208335897419598,0.0,0.39084688971439996,0.0014748789370059973,1.1659367084503163,60
mid,16,attn_only,0.0002950451989382411,-1.2830631330729146e-07,0.0018706336035393177,0.0,0.0002098927895228068,-0.0033199936151504517,0.005610386282205579,60
mid,16,mlp_only,0.0003654447087154307,-6.123020792614398e-08,0.0021450499130878597,0.0,0.0014577706654866536,-0.003782227635383606,0.010936857759952545,60
mid,16,resid,0.0004338119447668746,-1.1387402985008065e-07,0.0019961368467193096,0.0,0.35979625781377156,0.00221511572599411,1.0764110565185536,60
