anchor,layer,component,metric,mean,lo,hi
mid,0,attn_only,kl_t+1,12.766257655835458,0.002081690140767023,22.24245100021362
mid,0,attn_only,kl_t+10,0.5525280190226113,0.0001312897300522309,4.88399144411087
mid,0,attn_only,kl_t+5,12.795974063264778,0.0009811291194637306,23.672222185134885
mid,0,mlp_only,kl_t+1,0.017940088389665713,0.0006142843303678092,0.08476187549531458
mid,0,mlp_only,kl_t+10,0.016721962283418178,3.022177770617418e-06,0.10256054922938342
mid,0,mlp_only,kl_t+5,0.21613167548388598,6.435835230149678e-05,0.6099586084485052
mid,0,resid,kl_t+1,12.635511810565367,0.002137613951344974,22.155317878723142
mid,0,resid,kl_t+10,0.5311003188884267,6.355459386213626e-05,4.622165954113006
mid,0,resid,kl_t+5,12.745821143845872,0.00045742378933937293,23.615485858917236
mid,2,attn_only,kl_t+1,0.002252039364790903,0.00016257870629488025,0.006448344932869077
mid,2,attn_only,kl_t+10,0.0022779965698423482,1.758306353849548e-07,0.01798132751137016
mid,2,attn_only,kl_t+5,0.008856062167372633,2.903817846799939e-06,0.08377161901444191
mid,2,mlp_only,kl_t+1,0.0034107315521017274,0.00044824215074186214,0.008734827372245488
mid,2,mlp_only,kl_t+10,0.005127395247607325,1.9032560665266375e-07,0.027080301893875
mid,2,mlp_only,kl_t+5,0.013287101809327358,8.637531936983579e-06,0.13975540027022362
mid,2,resid,kl_t+1,12.202173976534201,0.0029285299766343086,22.035460186004638
mid,2,resid,kl_t+10,0.48209318920999067,9.553605086694006e-05,3.4729425609111764
mid,2,resid,kl_t+5,12.607527679978375,0.000952876012888737,23.102355480194092
mid,4,attn_only,kl_t+1,0.0032745381383307405,0.00034844713445636444,0.017282896442338803
mid,4,attn_only,kl_t+10,0.0012730333843624208,1.2291196487268509e-07,0.006313319737091659
mid,4,attn_only,kl_t+5,0.005673430125155695,3.340902406989699e-06,0.025055833486840127
mid,4,mlp_only,kl_t+1,0.004765500016682722,0.000411164085380733,0.01574355356860906
mid,4,mlp_only,kl_t+10,0.002648092254748491,1.69428725769194e-06,0.01153006963431835
mid,4,mlp_only,kl_t+5,0.009798965395922702,8.42619044760795e-06,0.057558969594538184
mid,4,resid,kl_t+1,11.939283195114694,0.005649580952012912,21.499742317199708
mid,4,resid,kl_t+10,0.39984376932761734,2.4223402306233766e-05,2.5098211586475356
mid,4,resid,kl_t+5,12.461237725286871,0.0012459313846193256,23.341050815582275
mid,6,attn_only,kl_t+1,0.003001278734296875,7.507655391236767e-05,0.010263533284887669
mid,6,attn_only,kl_t+10,0.0017120064853283878,6.130956382577325e-08,0.012677622656337907
mid,6,attn_only,kl_t+5,0.007986355435663365,3.4213105884362e-06,0.041919754911214094
mid,6,mlp_only,kl_t+1,0.009232063739015453,0.001264275368885137,0.03426397116854787
mid,6,mlp_only,kl_t+10,0.003255889396489664,1.357216568464992e-06,0.02114593624137341
mid,6,mlp_only,kl_t+5,0.018704297128772397,1.3793887364954572e-05,0.10008339285850523
mid,6,resid,kl_t+1,11.533577024145051,0.008367435121908785,20.9733247756958
mid,6,resid,kl_t+10,0.40132846448860465,5.483656773321855e-05,2.319822359085082
mid,6,resid,kl_t+5,12.27269454272464,0.0018282784440089017,23.046034383773804
mid,12,attn_only,kl_t+1,0.005503485496369838,0.00026468342839507385,0.017664459301158782
mid,12,attn_only,kl_t+10,0.004161220447577326,1.6975701100818696e-06,0.04011487900279458
mid,12,attn_only,kl_t+5,0.03936730915385075,6.696032767194994e-06,0.10049401503056285
mid,12,mlp_only,kl_t+1,0.016624734456653793,0.0007879923083237373,0.047775475028902274
mid,12,mlp_only,kl_t+10,0.011081676056039566,1.9089819289774823e-06,0.027403794880956397
mid,12,mlp_only,kl_t+5,0.01890913001714125,2.0630407789212768e-05,0.08052813205868005
mid,12,resid,kl_t+1,11.07133276743504,0.011017562914639711,20.400719690322877
mid,12,resid,kl_t+10,0.25246054304201,1.5808394891791977e-05,1.7350183755159359
mid,12,resid,kl_t+5,11.757125446871699,0.0022697810200043023,21.998441410064697
mid,16,attn_only,kl_t+1,0.008493331998204212,0.0005372483319661114,0.027334059774875633
mid,16,attn_only,kl_t+10,0.003306867252786572,8.18053685569531e-08,0.02565889428369699
mid,16,attn_only,kl_t+5,0.023273486497714657,6.5647325868667394e-06,0.13279585670679805
mid,16,mlp_only,kl_t+1,0.039453509264421885,0.0036479756061453374,0.12129639890044926
mid,16,mlp_only,kl_t+10,0.00224965906204729,2.6880075338908686e-07,0.016828613355755806
mid,16,mlp_only,kl_t+5,0.024593454393605423,1.2395045587254572e-05,0.13610392250120637
mid,16,resid,kl_t+1,10.154603183525614,0.0286235845182091,19.675293827056883
mid,16,resid,kl_t+10,0.12842502436706507,6.34989714853873e-06,1.1863229244947417
mid,16,resid,kl_t+5,11.236933345735695,0.003127259411849082,21.42566084861755
