task_id,domain,anchor,layer,component,final_kl,final_flip,delta_nll_suffix,metric,value
math_15,math,mid,0,resid,6.396803200914292e-06,0.0,0.21950653195381165,,
math_15,math,mid,0,attn_only,3.914110038749641e-06,0.0,0.23367321491241455,,
math_15,math,mid,0,mlp_only,2.573259791915916e-07,0.0,0.006490111351013184,,
math_15,math,mid,2,resid,3.6126580198470037e-06,0.0,0.20671463012695312,,
math_15,math,mid,2,attn_only,-2.214009953149798e-07,0.0,0.0013339817523956299,,
math_15,math,mid,2,mlp_only,1.5596552316310408e-07,0.0,0.00558847188949585,,
math_15,math,mid,4,resid,3.2011428174882894e-06,0.0,0.19006025791168213,,
math_15,math,mid,4,attn_only,-1.282406287828053e-07,0.0,-0.0004496574401855469,,
math_15,math,mid,4,mlp_only,-3.353788713411632e-08,0.0,0.0036534667015075684,,
math_15,math,mid,6,resid,4.178723884251667e-06,0.0,0.17083534598350525,,
math_15,math,mid,6,attn_only,-3.013654747974215e-07,0.0,5.173683166503906e-05,,
math_15,math,mid,6,mlp_only,-1.6647688028115226e-07,0.0,0.003111213445663452,,
math_15,math,mid,12,resid,1.6434487406513654e-06,0.0,0.17832279205322266,,
math_15,math,mid,12,attn_only,-9.831125424852871e-08,0.0,0.0014362633228302002,,
math_15,math,mid,12,mlp_only,-3.4703731000007565e-09,0.0,0.00281485915184021,,
math_15,math,mid,16,resid,-1.604547463784911e-07,0.0,0.1698823869228363,,
math_15,math,mid,16,attn_only,-2.0185940741157538e-07,0.0,0.0016813278198242188,,
math_15,math,mid,16,mlp_only,1.3821242816902668e-07,0.0,0.0017302334308624268,,
math_15,math,final,0,resid,14.514747619628906,1.0,0.0,,
math_15,math,final,0,attn_only,14.114675521850586,1.0,0.0,,
math_15,math,final,0,mlp_only,9.104223136091605e-05,0.0,0.0,,
math_15,math,final,2,resid,11.621334075927734,1.0,0.0,,
math_15,math,final,2,attn_only,5.525386313820491e-06,0.0,0.0,,
math_15,math,final,2,mlp_only,8.71610783548249e-09,0.0,0.0,,
math_15,math,final,4,resid,12.388214111328125,1.0,0.0,,
math_15,math,final,4,attn_only,-1.0526548521738732e-07,0.0,0.0,,
math_15,math,final,4,mlp_only,3.6364622246765066e-06,0.0,0.0,,
math_15,math,final,6,resid,11.534211158752441,1.0,0.0,,
math_15,math,final,6,attn_only,3.486771049665549e-07,0.0,0.0,,
math_15,math,final,6,mlp_only,4.774308877131261e-07,0.0,0.0,,
math_15,math,final,12,resid,6.256936073303223,1.0,0.0,,
math_15,math,final,12,attn_only,8.771451575739775e-06,0.0,0.0,,
math_15,math,final,12,mlp_only,7.335177087952616e-06,0.0,0.0,,
math_15,math,final,16,resid,12.508092880249023,1.0,0.0,,
math_15,math,final,16,attn_only,2.0625673187169014e-06,0.0,0.0,,
math_15,math,final,16,mlp_only,5.898933522985317e-06,0.0,0.0,,
qa_14,qa,mid,0,resid,0.00010492072760825977,0.0,4.61462926864624,,
qa_14,qa,mid,0,attn_only,0.00011924496357096359,0.0,4.610135555267334,,
qa_14,qa,mid,0,mlp_only,4.57727765024174e-07,0.0,0.014945298433303833,,
qa_14,qa,mid,2,resid,1.80234474100871e-05,0.0,4.347111701965332,,
qa_14,qa,mid,2,attn_only,3.417018206164357e-07,0.0,0.0007674992084503174,,
qa_14,qa,mid,2,mlp_only,2.631431357258407e-07,0.0,0.02893272042274475,,
qa_14,qa,mid,4,resid,1.5999215975170955e-05,0.0,4.250207424163818,,
qa_14,qa,mid,4,attn_only,8.079041435848922e-07,0.0,0.003291994333267212,,
qa_14,qa,mid,4,mlp_only,7.4731169661390595e-06,0.0,-0.02259296178817749,,
qa_14,qa,mid,6,resid,2.7137448341818526e-06,0.0,4.151134967803955,,
qa_14,qa,mid,6,attn_only,1.6334658994310303e-06,0.0,-0.025981634855270386,,
qa_14,qa,mid,6,mlp_only,1.1934324675166863e-06,0.0,0.007485806941986084,,
qa_14,qa,mid,12,resid,7.57565885578515e-07,0.0,3.928793430328369,,
qa_14,qa,mid,12,attn_only,3.7091655258336687e-07,0.0,0.011764317750930786,,
