temp,monitoring,brevity,domain,accuracy_mean,accuracy_lo,accuracy_hi,accuracy_n,clarity_mean,clarity_lo,clarity_hi,clarity_n,cot_length_mean,cot_length_lo,cot_length_hi,cot_length_n
0.0,hidden,brief,code,,,,0,1.18165,1.104575,1.334725,20,263.85,223.0,299.05,20
0.0,hidden,brief,math,0.4,0.0,1.0,20,1.1518,1.072375,1.2978499999999997,20,71.15,46.475,109.625,20
0.0,hidden,brief,qa,0.2,0.0,1.0,20,1.13815,1.10495,1.192075,20,317.25,249.275,404.52499999999986,20
0.0,hidden,none,code,,,,0,1.1480499999999998,1.093425,1.187725,20,267.55,225.925,303.525,20
0.0,hidden,none,math,0.4,0.0,1.0,20,1.1271,1.063425,1.224025,20,71.15,46.475,109.625,20
0.0,hidden,none,qa,0.35,0.0,1.0,20,1.17015,1.113475,1.29755,20,265.65,111.0,360.17499999999995,20
0.0,hidden,one_sentence,code,,,,0,1.15135,1.100775,1.20495,20,271.25,241.475,302.525,20
0.0,hidden,one_sentence,math,0.4,0.0,1.0,20,1.1479,1.076425,1.233875,20,71.15,46.475,109.625,20
0.0,hidden,one_sentence,qa,0.2,0.0,1.0,20,1.1416500000000003,1.101075,1.182925,20,317.8,231.025,412.5999999999999,20
0.0,monitored,brief,code,,,,0,1.1474499999999999,1.1064500000000002,1.21545,20,268.5,233.4,298.625,20
0.0,monitored,brief,math,0.45,0.0,1.0,20,1.15865,1.072375,1.2886499999999999,20,72.15,47.475,110.625,20
0.0,monitored,brief,qa,0.15,0.0,1.0,20,1.14425,1.107425,1.2233999999999998,20,314.6,254.8,398.9249999999999,20
0.0,monitored,none,code,,,,0,1.1474499999999999,1.1046,1.19655,20,266.0,232.025,296.34999999999997,20
0.0,monitored,none,math,0.45,0.0,1.0,20,1.1378499999999998,1.079275,1.217625,20,72.15,47.475,110.625,20
0.0,monitored,none,qa,0.3,0.0,1.0,20,1.1779499999999998,1.120325,1.29755,20,238.15,96.8,351.92499999999995,20
0.0,monitored,one_sentence,code,,,,0,1.1517000000000002,1.1107749999999998,1.2289999999999999,20,270.65,234.775,300.15,20
0.0,monitored,one_sentence,math,0.35,0.0,1.0,20,1.1579000000000002,1.069175,1.2911249999999999,20,72.15,47.475,110.625,20
0.0,monitored,one_sentence,qa,0.2,0.0,1.0,20,1.14505,1.0946,1.215075,20,313.15,261.8,377.275,20
